,id,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,work_phone,phone,email,occyp_type,family_size,begin_month,credit,YEARS_BIRTH,Age_group,YEARS_EMPLOYED,EMPLOYED_group,income_avg
20,M198501753180000,M,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,NaN,2.0,35.0,2.0,55,50,4,1~5,90000.0
21,F212530157500,F,N,N,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,No work experience,2.0,7.0,2.0,59,50,No work experience,No work experience,78750.0
22,F151981357157500,F,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Laborers,2.0,22.0,0.0,42,40,3,1~5,78750.0
23,M14542444225000,M,Y,N,0,225000.0,Working,Secondary / secondary special,Married,Municipal apartment,1,1,1,NaN,2.0,18.0,2.0,40,40,1,1~5,112500.0
24,F223610202500,F,N,N,0,202500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0,1,0,No work experience,1.0,5.0,2.0,62,60,No work experience,No work experience,202500.0
25,F140583694225000,F,N,Y,1,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Realty agents,3.0,4.0,2.0,39,30,10,10~20,75000.0
26,M178433353135000,M,Y,N,1,135000.0,Working,Higher education,Married,House / apartment,1,0,0,Laborers,3.0,13.0,2.0,49,40,9,5~10,45000.0
27,M173093500405000,M,Y,Y,0,405000.0,State servant,Secondary / secondary special,Married,House / apartment,0,0,0,NaN,2.0,57.0,2.0,48,40,9,5~10,202500.0
28,M221112325112500,M,Y,N,0,112500.0,Commercial associate,Secondary / secondary special,Married,With parents,1,1,0,Drivers,2.0,47.0,2.0,61,60,6,5~10,56250.0
29,F120171711121500,F,N,Y,0,121500.0,Commercial associate,Secondary / secondary special,Married,Co-op apartment,0,1,0,Sales staff,2.0,22.0,0.0,33,30,4,1~5,60750.0
30,M13188227225000,M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Managers,2.0,33.0,2.0,37,30,0,~1,112500.0
31,M117623452135000,M,Y,Y,0,135000.0,Commercial associate,Higher education,Married,House / apartment,1,0,1,Laborers,2.0,18.0,0.0,33,30,9,5~10,67500.0
32,F132991628135000,F,N,Y,0,135000.0,Working,Higher education,Married,House / apartment,0,0,0,Laborers,2.0,2.0,0.0,37,30,4,1~5,67500.0
33,M19200346202500,M,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,High skill tech staff,2.0,30.0,2.0,53,50,0,~1,101250.0
34,M144881630270000,M,Y,Y,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Laborers,3.0,22.0,0.0,40,40,4,1~5,90000.0
35,F144382433225000,F,Y,N,0,225000.0,Working,Higher education,Civil marriage,House / apartment,0,0,0,Managers,2.0,20.0,2.0,40,40,6,5~10,112500.0
36,F202001022225000,F,Y,N,0,225000.0,Working,Higher education,Single / not married,House / apartment,1,1,0,Accountants,1.0,14.0,2.0,56,50,2,1~5,225000.0
37,M166531646585000,M,Y,Y,0,585000.0,Commercial associate,Secondary / secondary special,Married,With parents,0,0,0,Drivers,2.0,8.0,2.0,46,40,4,1~5,292500.0
38,F135823472202500,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,2.0,41.0,2.0,38,30,9,5~10,101250.0
39,M130221600112500,M,Y,Y,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,4.0,39.0,2.0,36,30,4,1~5,28125.0
40,M21700242690900,M,Y,Y,0,90900.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,21.0,1.0,60,60,6,5~10,45450.0
41,F1275243399000,F,N,Y,2,99000.0,Commercial associate,Higher education,Married,House / apartment,0,1,0,Accountants,4.0,19.0,2.0,35,30,1,1~5,24750.0
42,M9943554270000,M,N,N,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Managers,3.0,35.0,0.0,28,20,1,1~5,90000.0
43,F9963187667500,F,N,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,2.0,8.0,1.0,28,20,5,5~10,33750.0
44,M15125199247500,M,N,N,0,247500.0,Working,Higher education,Civil marriage,House / apartment,0,0,0,Drivers,2.0,26.0,2.0,42,40,0,~1,123750.0
45,M186553200405000,M,Y,N,0,405000.0,Working,Higher education,Married,House / apartment,1,1,0,High skill tech staff,2.0,4.0,0.0,52,50,8,5~10,202500.0
46,F211000135000,F,N,N,0,135000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,1,0,No work experience,1.0,24.0,2.0,58,50,No work experience,No work experience,135000.0
47,F184093482292500,F,Y,Y,0,292500.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,Sales staff,2.0,48.0,2.0,51,50,9,5~10,146250.0
48,F23585099000,F,N,Y,0,99000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,No work experience,2.0,4.0,2.0,65,60,No work experience,No work experience,49500.0
49,F188582010585000,F,N,Y,0,585000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,NaN,2.0,12.0,2.0,52,50,5,5~10,292500.0
50,F13951110190000,F,Y,N,1,90000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Sales staff,3.0,4.0,2.0,39,30,3,1~5,30000.0
51,M89171101495000,M,Y,Y,0,495000.0,Working,Incomplete higher,Married,With parents,0,0,1,Drivers,2.0,10.0,2.0,25,20,3,1~5,247500.0
52,F24044054000,F,N,Y,0,54000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,No work experience,2.0,37.0,2.0,66,60,No work experience,No work experience,27000.0
53,F135413965306000,F,Y,Y,2,306000.0,State servant,Higher education,Married,House / apartment,0,0,0,Core staff,4.0,42.0,2.0,38,30,10,10~20,76500.0
54,F1562642299000,F,N,N,1,99000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,NaN,3.0,2.0,1.0,43,40,1,1~5,33000.0
55,F138563010180000,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,24.0,2.0,38,30,8,5~10,90000.0
56,F161379391130500,F,Y,Y,0,130500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Laborers,2.0,29.0,2.0,45,40,25,20~30,65250.0
57,F17031642225000,F,N,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,0,0,0,Core staff,1.0,3.0,1.0,47,40,1,1~5,225000.0
58,F233340144000,F,N,Y,0,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,No work experience,2.0,23.0,2.0,64,60,No work experience,No work experience,72000.0
59,F229850360000,F,N,Y,0,360000.0,Pensioner,Higher education,Married,House / apartment,0,1,0,No work experience,2.0,25.0,2.0,63,60,No work experience,No work experience,180000.0
60,M213970112500,M,Y,Y,0,112500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,0,0,0,No work experience,1.0,1.0,1.0,59,50,No work experience,No work experience,112500.0
61,M113731371270000,M,Y,N,1,270000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,Managers,3.0,15.0,2.0,32,30,3,1~5,90000.0
62,F174023153225000,F,Y,Y,0,225000.0,Working,Higher education,Married,House / apartment,0,1,0,Core staff,2.0,40.0,1.0,48,40,8,5~10,112500.0
63,M155863337315000,M,Y,Y,0,315000.0,Working,Higher education,Married,House / apartment,0,0,0,Managers,2.0,21.0,2.0,43,40,9,5~10,157500.0
64,M904771667500,M,Y,N,0,67500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,0,0,0,Security staff,1.0,32.0,2.0,25,20,1,1~5,67500.0
65,F12729493640500,F,N,Y,0,40500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Cleaning staff,2.0,10.0,2.0,35,30,13,10~20,20250.0
66,M137612783144000,M,N,Y,1,144000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,3.0,4.0,1.0,38,30,7,5~10,48000.0
67,F121351216157500,F,N,Y,2,157500.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,High skill tech staff,4.0,2.0,1.0,34,30,3,1~5,39375.0
68,F103091610180000,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,14.0,1.0,29,20,4,1~5,90000.0
69,F154622969157500,F,N,Y,0,157500.0,Working,Higher education,Married,House / apartment,0,0,1,Medicine staff,2.0,59.0,2.0,43,40,8,5~10,78750.0
70,M9874192881000,M,N,Y,0,81000.0,Commercial associate,Higher education,Single / not married,House / apartment,0,1,0,Laborers,1.0,39.0,2.0,28,20,5,5~10,81000.0
71,M159043787202500,M,Y,N,2,202500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,4.0,54.0,2.0,44,40,10,10~20,50625.0
72,F215741081351000,F,N,N,0,351000.0,Commercial associate,Higher education,Married,House / apartment,0,1,0,NaN,2.0,4.0,2.0,60,60,2,1~5,175500.0
73,F232690180000,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,No work experience,2.0,34.0,2.0,64,60,No work experience,No work experience,90000.0
74,F1035021967500,F,N,Y,1,67500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Sales staff,3.0,25.0,2.0,29,20,0,~1,22500.0
75,F156535500315000,F,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,1,Core staff,2.0,34.0,2.0,43,40,15,10~20,157500.0
76,F13557586315000,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,1,1,0,NaN,2.0,15.0,2.0,38,30,1,1~5,157500.0
77,F9818520135000,F,N,N,0,135000.0,Working,Higher education,Single / not married,House / apartment,0,0,0,Core staff,1.0,7.0,1.0,27,20,1,1~5,135000.0
78,F12690231112500,F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Sales staff,2.0,23.0,1.0,35,30,0,~1,56250.0
79,F148161672225000,F,Y,Y,1,225000.0,Working,Higher education,Separated,House / apartment,0,0,0,Core staff,2.0,2.0,0.0,41,40,4,1~5,112500.0
80,F17862212247500,F,N,Y,0,247500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Laborers,2.0,2.0,1.0,49,40,0,~1,123750.0
81,M10314962135000,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,1,Sales staff,2.0,0.0,0.0,29,20,2,1~5,67500.0
82,F152741423216000,F,Y,Y,0,216000.0,Working,Higher education,Civil marriage,House / apartment,0,0,1,Accountants,2.0,53.0,2.0,42,40,3,1~5,108000.0
83,F119051700180000,F,N,N,2,180000.0,Working,Higher education,Married,House / apartment,0,0,0,High skill tech staff,4.0,38.0,1.0,33,30,4,1~5,45000.0
84,M235630135000,M,Y,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,No work experience,2.0,27.0,2.0,65,60,No work experience,No work experience,67500.0
85,M180131215184500,M,Y,N,0,184500.0,Working,Secondary / secondary special,Married,Municipal apartment,0,0,0,Laborers,2.0,41.0,1.0,50,50,3,1~5,92250.0
86,M12571451112500,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,Drivers,3.0,45.0,2.0,35,30,1,1~5,37500.0
87,F13270235270000,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,1,1,1,Core staff,1.0,56.0,2.0,37,30,0,~1,270000.0
88,F204125427360000,F,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Managers,2.0,45.0,2.0,56,50,14,10~20,180000.0
89,M144654145450000,M,N,N,0,450000.0,Commercial associate,Incomplete higher,Married,House / apartment,1,1,0,Managers,2.0,59.0,2.0,40,40,11,10~20,225000.0
90,F20200940445000,F,N,Y,0,45000.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,Cleaning staff,2.0,30.0,2.0,56,50,25,20~30,22500.0
91,F187442988202500,F,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Private service staff,2.0,20.0,2.0,52,50,8,5~10,101250.0
92,M12190691135000,M,Y,Y,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,3.0,5.0,2.0,34,30,1,1~5,45000.0
93,F190533629202500,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,0,0,High skill tech staff,1.0,22.0,1.0,53,50,9,5~10,202500.0
94,F237700180000,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,No work experience,2.0,26.0,2.0,66,60,No work experience,No work experience,90000.0
95,M16081079650,M,N,Y,0,79650.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,No work experience,2.0,14.0,2.0,45,40,No work experience,No work experience,39825.0
96,M236742087450000,M,N,Y,0,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Security staff,2.0,56.0,2.0,65,60,5,5~10,225000.0
97,M93731212157500,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Drivers,2.0,46.0,2.0,26,20,3,1~5,78750.0
98,M10837588450000,M,Y,Y,0,450000.0,Commercial associate,Higher education,Single / not married,House / apartment,0,0,1,Sales staff,1.0,5.0,2.0,30,30,1,1~5,450000.0
99,F1936312332270000,F,N,N,0,270000.0,State servant,Secondary / secondary special,Separated,House / apartment,0,1,1,Medicine staff,1.0,35.0,2.0,54,50,33,30~,270000.0
100,F221128491135000,F,N,Y,0,135000.0,Working,Higher education,Married,House / apartment,0,0,0,Private service staff,2.0,9.0,2.0,61,60,23,20~30,67500.0
101,F19661304681000,F,N,Y,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Managers,2.0,2.0,1.0,54,50,8,5~10,40500.0
102,F12269604135000,F,N,N,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Managers,3.0,12.0,2.0,34,30,1,1~5,45000.0
103,M158253720315000,M,Y,N,0,315000.0,Working,Higher education,Married,House / apartment,1,1,0,Managers,2.0,12.0,2.0,44,40,10,10~20,157500.0
104,M159942537225000,M,Y,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,0,1,0,Sales staff,1.0,7.0,0.0,44,40,6,5~10,225000.0
105,M99842606135000,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,5.0,2.0,28,20,7,5~10,67500.0
106,F16118195990000,F,N,N,1,90000.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,NaN,3.0,47.0,2.0,45,40,5,5~10,30000.0
107,F93101678306000,F,Y,N,1,306000.0,Working,Higher education,Married,House / apartment,0,0,0,NaN,3.0,4.0,1.0,26,20,4,1~5,102000.0
108,F10762683153000,F,N,Y,0,153000.0,Working,Higher education,Single / not married,House / apartment,0,1,0,Core staff,1.0,22.0,2.0,30,30,1,1~5,153000.0
109,F228112234126000,F,N,Y,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,High skill tech staff,2.0,13.0,2.0,63,60,6,5~10,63000.0
110,M12846164315000,M,Y,Y,0,315000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,Managers,2.0,57.0,2.0,36,30,0,~1,157500.0
111,M161752371225000,M,Y,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,3.0,44.0,2.0,45,40,6,5~10,75000.0
112,F17826201193500,F,N,N,0,193500.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,1,0,Laborers,1.0,4.0,2.0,49,40,0,~1,193500.0
113,F17384113890000,F,N,Y,2,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Cooking staff,4.0,36.0,1.0,48,40,3,1~5,22500.0
114,M115642944135000,M,Y,Y,2,135000.0,Working,Higher education,Married,House / apartment,0,0,1,Managers,4.0,43.0,2.0,32,30,8,5~10,33750.0
115,F20920081000,F,N,N,0,81000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,No work experience,2.0,49.0,2.0,58,50,No work experience,No work experience,40500.0
116,F143172751382500,F,Y,Y,1,382500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Managers,3.0,11.0,2.0,40,40,7,5~10,127500.0
117,F16173674202500,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,2.0,27.0,2.0,45,40,1,1~5,101250.0
118,F182595756112500,F,N,Y,0,112500.0,Working,Higher education,Married,House / apartment,0,1,0,Sales staff,2.0,47.0,2.0,51,50,15,10~20,56250.0
119,F123931854144000,F,N,Y,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Cooking staff,4.0,0.0,1.0,34,30,5,5~10,36000.0
120,F214970157500,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,0,0,No work experience,1.0,4.0,1.0,59,50,No work experience,No work experience,157500.0
121,F166419988144000,F,N,N,0,144000.0,Working,Secondary / secondary special,Married,Municipal apartment,1,1,0,Sales staff,2.0,35.0,2.0,46,40,27,20~30,72000.0
122,F129024120283500,F,Y,Y,2,283500.0,State servant,Higher education,Married,House / apartment,0,0,0,Core staff,4.0,39.0,2.0,36,30,11,10~20,70875.0
123,F194316226202500,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,High skill tech staff,2.0,48.0,2.0,54,50,17,10~20,101250.0
124,F15525335790000,F,Y,Y,2,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Accountants,4.0,55.0,2.0,43,40,9,5~10,22500.0
125,M124834039360000,M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Managers,2.0,42.0,2.0,35,30,11,10~20,180000.0
126,F117094983175500,F,Y,N,1,175500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,0,0,0,Laborers,2.0,45.0,2.0,33,30,13,10~20,87750.0
127,M16537410360000,M,Y,Y,1,360000.0,Commercial associate,Higher education,Married,House / apartment,0,1,1,Laborers,3.0,30.0,2.0,46,40,1,1~5,120000.0
128,F137415221112500,F,N,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,3.0,38.0,1.0,38,30,14,10~20,37500.0
129,M175371749315000,M,N,N,1,315000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,3.0,11.0,2.0,49,40,4,1~5,105000.0
130,F155193234297000,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,1.0,0.0,43,40,8,5~10,297000.0
131,F142285330202500,F,Y,N,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,0,1,0,NaN,2.0,33.0,0.0,39,30,14,10~20,101250.0
132,F10559429225000,F,N,N,0,225000.0,Commercial associate,Higher education,Married,House / apartment,1,1,0,Drivers,2.0,35.0,2.0,29,20,1,1~5,112500.0
133,F131682574387000,F,Y,N,1,387000.0,Working,Higher education,Married,House / apartment,0,0,0,Managers,3.0,22.0,2.0,37,30,7,5~10,129000.0
134,F229910135000,F,Y,Y,0,135000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,0,0,No work experience,1.0,6.0,2.0,63,60,No work experience,No work experience,135000.0
135,M15333196337500,M,Y,N,1,337500.0,Commercial associate,Higher education,Separated,House / apartment,0,1,0,Managers,2.0,23.0,0.0,43,40,0,~1,168750.0
136,F12640399225000,F,N,N,1,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Accountants,3.0,29.0,2.0,35,30,1,1~5,75000.0
137,F135913246225000,F,Y,Y,1,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,3.0,46.0,2.0,38,30,8,5~10,75000.0
138,F24367054000,F,N,Y,0,54000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,No work experience,2.0,2.0,0.0,67,60,No work experience,No work experience,27000.0
139,F13590982157500,F,Y,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,NaN,2.0,39.0,2.0,38,30,2,1~5,78750.0
140,M119171680180000,M,Y,Y,1,180000.0,Working,Higher education,Married,With parents,1,0,0,Laborers,3.0,15.0,0.0,33,30,4,1~5,60000.0
141,F105513000112500,F,Y,Y,1,112500.0,Commercial associate,Higher education,Civil marriage,House / apartment,0,0,1,Core staff,3.0,12.0,2.0,29,20,8,5~10,37500.0
142,M224561934360000,M,Y,Y,0,360000.0,Working,Higher education,Married,House / apartment,0,1,0,Managers,2.0,11.0,2.0,62,60,5,5~10,180000.0
143,F138211071256500,F,Y,Y,0,256500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,1,Core staff,2.0,45.0,2.0,38,30,2,1~5,128250.0
144,F103511322180000,F,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,NaN,2.0,8.0,2.0,29,20,3,1~5,90000.0
145,F1959811940202500,F,Y,N,0,202500.0,State servant,Secondary / secondary special,Married,House / apartment,0,1,0,Medicine staff,2.0,7.0,2.0,54,50,32,30~,101250.0
146,F141367400247500,F,N,N,0,247500.0,Working,Higher education,Married,House / apartment,1,1,0,Managers,2.0,6.0,1.0,39,30,20,20~30,123750.0
147,F12681709157500,F,N,Y,0,157500.0,Working,Higher education,Married,House / apartment,0,0,0,Sales staff,2.0,11.0,1.0,35,30,1,1~5,78750.0
148,M14496808225000,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,NaN,2.0,26.0,2.0,40,40,2,1~5,112500.0
149,F129742379112500,F,N,Y,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,4.0,49.0,1.0,36,30,6,5~10,28125.0
150,F119002828157500,F,Y,N,1,157500.0,Working,Higher education,Married,House / apartment,0,0,0,Laborers,3.0,41.0,2.0,33,30,7,5~10,52500.0
151,M15344314360000,M,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,2.0,33.0,2.0,43,40,0,~1,180000.0
152,F10597574360000,F,Y,Y,0,360000.0,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,Medicine staff,1.0,35.0,2.0,30,30,1,1~5,360000.0
153,M179753476180000,M,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,2.0,32.0,1.0,50,50,9,5~10,90000.0
154,F1886810993175500,F,N,N,0,175500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,NaN,2.0,46.0,2.0,52,50,30,30~,87750.0
155,F20362090000,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,No work experience,2.0,35.0,2.0,56,50,No work experience,No work experience,45000.0
156,M16728880135000,M,N,Y,1,135000.0,Working,Secondary / secondary special,Separated,House / apartment,0,0,0,Laborers,2.0,38.0,2.0,46,40,2,1~5,67500.0
157,M100871447157500,M,N,Y,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,NaN,4.0,44.0,2.0,28,20,3,1~5,39375.0
158,M107562355202500,M,N,Y,1,202500.0,State servant,Higher education,Married,House / apartment,0,0,0,Core staff,3.0,39.0,2.0,30,30,6,5~10,67500.0
159,F218990153000,F,N,Y,0,153000.0,Pensioner,Higher education,Married,House / apartment,0,1,0,No work experience,2.0,51.0,1.0,60,60,No work experience,No work experience,76500.0
160,F17136126672000,F,Y,Y,1,72000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,3.0,11.0,2.0,47,40,3,1~5,24000.0
161,M13465839360000,M,Y,Y,2,360000.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Managers,4.0,33.0,0.0,37,30,2,1~5,90000.0
162,F164092045540000,F,N,N,1,540000.0,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,Managers,2.0,60.0,2.0,45,40,5,5~10,270000.0
